age_group,division,event_id,event_name,gender,name,nationality,roxzone_time,run1_time,run2_time,run3_time,run4_time,run5_time,run6_time,run7_time,run8_time,run_time,total_time,skiErg_time,sledPush_time,sledPull_time,burpeeBroadJump_time,rowErg_time,farmersCarry_time,sandbagLunges_time,wallBalls_time,work_time
40-44,open,JGDMS4JI8B2,2024 Amsterdam,male,"Magill, Connor",IRL,3.4,2.816666666666667,3.7333333333333334,3.8,3.8333333333333335,3.9,3.85,3.8833333333333333,4.233333333333333,29.983333333333334,57.233333333333334,3.933333333333333,1.7166666666666666,2.7666666666666666,3.05,4.016666666666667,1.4166666666666667,3.283333333333333,3.7666666666666666,23.95
30-34,open,JGDMS4JI8B2,2024 Amsterdam,male,"Pointon, Max",GBR,3.6333333333333333,2.566666666666667,3.8333333333333335,4.033333333333333,4.033333333333333,4.083333333333333,4.05,4.1,4.383333333333334,31.016666666666666,60.583333333333336,3.8333333333333335,1.7333333333333334,3.2,3.283333333333333,4.183333333333334,1.5666666666666667,3.8,4.433333333333334,26.033333333333335
25-29,open,JGDMS4JI8B2,2024 Amsterdam,male,"Dias, Francisco",POR,4.066666666666666,2.6,3.9833333333333334,4.166666666666667,4.166666666666667,4.3,4.333333333333333,4.266666666666667,4.533333333333333,32.28333333333333,61.55,3.933333333333333,1.8,3.5166666666666666,3.033333333333333,4.416666666666667,1.5166666666666666,2.8833333333333333,4.183333333333334,25.283333333333335
30-34,open,JGDMS4JI8B2,2024 Amsterdam,male,"Derom, Antoine",BEL,4.266666666666667,2.816666666666667,4.016666666666667,4.316666666666666,4.45,4.583333333333333,4.366666666666666,4.45,4.716666666666667,33.65,63.9,4.083333333333333,1.8,3.0166666666666666,4.4,4.216666666666667,1.2666666666666666,3.85,3.4166666666666665,26.05
25-29,open,JGDMS4JI8B2,2024 Amsterdam,male,"Brown, Harry",GBR,4.35,2.9166666666666665,4.366666666666666,4.416666666666667,4.65,4.716666666666667,4.666666666666667,4.683333333333334,4.916666666666667,35.28333333333333,65.11666666666666,3.8333333333333335,1.9833333333333334,3.066666666666667,3.5833333333333335,4.183333333333334,1.6166666666666667,3.6333333333333333,3.6666666666666665,25.566666666666666
40-44,open,JGDMS4JI8B2,2024 Amsterdam,male,"Berry, Ian",GBR,4.35,2.8833333333333333,4.3,4.433333333333334,4.366666666666666,4.516666666666667,4.266666666666667,4.516666666666667,4.983333333333333,34.21666666666667,65.41666666666667,4.033333333333333,1.6166666666666667,3.4,3.2666666666666666,4.5,1.5,3.9,4.716666666666667,26.933333333333334
40-44,open,JGDMS4JI8B2,2024 Amsterdam,male,"Rodgers, Paul",GBR,3.7666666666666666,2.5833333333333335,3.5,3.7666666666666666,3.75,3.75,3.7,3.716666666666667,3.95,28.683333333333334,65.61666666666666,4.4,1.75,3.85,5.466666666666667,4.383333333333334,2.1,4.483333333333333,6.816666666666666,33.25
25-29,open,JGDMS4JI8B2,2024 Amsterdam,male,"Flipse, Chris",NED,4.583333333333333,2.933333333333333,4.266666666666667,4.433333333333334,4.4,4.4,4.35,4.316666666666666,4.65,33.666666666666664,65.63333333333334,3.933333333333333,1.55,3.55,3.966666666666667,4.2,1.5,3.45,5.3,27.45
35-39,open,JGDMS4JI8B2,2024 Amsterdam,male,"Van Der Linden, Sander",NED,4.9,2.5833333333333335,4.1,4.4,4.533333333333333,4.383333333333334,4.383333333333334,4.333333333333333,4.7,33.36666666666667,66.83333333333333,3.9833333333333334,1.9833333333333334,3.8333333333333335,4.316666666666666,4.433333333333334,1.7666666666666666,3.783333333333333,4.55,28.65
40-44,open,JGDMS4JI8B2,2024 Amsterdam,male,"Williams, Greg",GBR,4.25,3.1,4.383333333333334,4.516666666666667,4.5,4.566666666666666,4.566666666666666,4.516666666666667,4.9,34.983333333333334,67.2,4.283333333333333,2.283333333333333,3.3,4.4,4.45,1.5833333333333333,3.8333333333333335,3.8666666666666667,28.0
30-34,open,JGDMS4JI8B2,2024 Amsterdam,male,"Sztuka, Markus",AUT,4.483333333333333,2.9,4.316666666666666,4.7,4.716666666666667,4.883333333333334,4.683333333333334,4.8,5.4,36.31666666666667,67.31666666666666,3.933333333333333,1.6333333333333333,3.066666666666667,4.0,4.183333333333334,1.3333333333333333,4.1,4.333333333333333,26.583333333333332
40-44,open,JGDMS4JI8B2,2024 Amsterdam,male,"O Rourke, John",IRL,4.566666666666666,2.95,5.666666666666667,4.416666666666667,4.383333333333334,4.3,4.45,4.283333333333333,4.933333333333334,35.333333333333336,68.53333333333333,3.8333333333333335,1.75,3.283333333333333,4.583333333333333,4.35,1.5166666666666666,4.516666666666667,4.85,28.683333333333334
25-29,open,JGDMS4JI8B2,2024 Amsterdam,male,"De Bruijn, Ramon",NED,5.333333333333333,3.0166666666666666,4.316666666666666,4.583333333333333,4.633333333333334,4.716666666666667,4.616666666666666,4.983333333333333,5.166666666666667,35.983333333333334,68.86666666666666,4.15,1.7833333333333334,3.65,3.6666666666666665,4.266666666666667,1.3833333333333333,4.583333333333333,4.15,27.633333333333333
25-29,open,JGDMS4JI8B2,2024 Amsterdam,male,"Walhout, Maurice",NED,4.55,2.966666666666667,4.15,4.633333333333334,4.65,4.866666666666666,4.716666666666667,4.75,5.133333333333334,35.8,69.01666666666667,4.05,1.8666666666666667,3.933333333333333,4.616666666666666,4.316666666666666,1.5833333333333333,4.0,4.366666666666666,28.733333333333334
30-34,open,JGDMS4JI8B2,2024 Amsterdam,male,"Böttinger, Robin",GER,4.55,3.1166666666666667,4.333333333333333,4.733333333333333,4.666666666666667,4.95,4.9,4.8,5.116666666666666,36.55,69.13333333333334,4.166666666666667,1.6833333333333333,3.3666666666666667,4.766666666666667,4.283333333333333,1.3333333333333333,3.7,4.816666666666666,28.116666666666667
30-34,open,JGDMS4JI8B2,2024 Amsterdam,male,"Hickey, Cian",IRL,4.1,2.816666666666667,4.216666666666667,4.583333333333333,4.55,4.583333333333333,4.483333333333333,4.533333333333333,4.633333333333334,34.333333333333336,69.16666666666667,4.25,1.8833333333333333,4.366666666666666,3.966666666666667,4.533333333333333,1.55,4.233333333333333,6.05,30.833333333333332
16-24,open,JGDMS4JI8B2,2024 Amsterdam,male,"Langan, Aaron",GBR,4.533333333333333,3.0,4.266666666666667,4.516666666666667,4.6,4.75,4.916666666666667,4.616666666666666,5.466666666666667,36.083333333333336,69.43333333333334,3.8833333333333333,1.5333333333333334,3.8,4.733333333333333,4.25,1.5666666666666667,4.366666666666666,4.783333333333333,28.916666666666668
35-39,open,JGDMS4JI8B2,2024 Amsterdam,male,"Kinnard, Benjamin",GBR,4.333333333333333,3.183333333333333,4.45,4.533333333333333,4.65,4.883333333333334,4.716666666666667,4.683333333333334,5.033333333333333,36.06666666666667,69.46666666666667,4.2,2.05,3.283333333333333,4.783333333333333,4.366666666666666,1.7,4.0,4.766666666666667,29.15
