season,location,file_last_modified
1,essen,2025-10-12T21:59:47+00:00
1,hamburg,2025-10-12T22:00:32+00:00
1,hannover,2025-10-12T21:58:55+00:00
1,karlsruhe,2025-10-12T21:58:06+00:00
1,leipzig,2025-10-12T22:00:47+00:00
1,n-rnberg,2025-10-12T21:58:27+00:00
1,oberhausen,2025-10-12T21:57:34+00:00
1,stuttgart,2025-10-12T21:59:15+00:00
1,wien,2025-10-12T21:59:30+00:00
2,chicago,2025-09-20T08:35:37+00:00
2,dallas,2025-09-20T08:34:10+00:00
2,essen,2025-09-20T08:39:15+00:00
2,frankfurt,2025-09-20T08:36:47+00:00
2,hamburg,2025-09-20T08:38:36+00:00
2,hannover,2025-09-20T08:35:10+00:00
2,karlsruhe,2025-09-20T08:33:47+00:00
2,leipzig,2025-09-20T08:39:48+00:00
2,miami,2025-09-20T08:40:01+00:00
2,new-york,2025-09-20T08:36:08+00:00
2,wien,2025-09-20T08:37:20+00:00
3,austin,2025-10-26T09:08:45+00:00
3,chicago,2025-10-26T09:08:19+00:00
3,dallas,2025-10-26T09:07:58+00:00
3,orlando,2025-10-26T09:08:28+00:00
4,amsterdam,2025-10-26T09:25:59+00:00
4,berlin,2025-10-26T09:24:12+00:00
4,birmingham,2025-10-26T09:25:24+00:00
4,bremen,2025-10-26T09:18:34+00:00
4,chicago,2025-10-26T09:14:53+00:00
4,dallas,2025-10-26T09:23:47+00:00
4,essen,2025-10-26T09:14:27+00:00
4,frankfurt,2025-10-26T09:10:34+00:00
4,hamburg,2025-10-26T09:23:21+00:00
4,karlsruhe,2025-10-26T09:16:59+00:00
4,las-vegas,2025-10-26T09:15:38+00:00
4,leipzig,2025-10-26T09:27:29+00:00
4,london,2025-10-26T09:26:48+00:00
4,los-angeles,2025-10-26T09:26:16+00:00
4,m-nchen,2025-10-26T09:20:02+00:00
4,maastricht,2025-10-26T09:17:47+00:00
4,madrid,2025-10-26T09:22:19+00:00
4,manchester,2025-10-26T09:21:28+00:00
4,new-york,2025-10-26T09:19:12+00:00
4,stuttgart,2025-10-26T09:24:51+00:00
4,wien,2025-10-26T09:16:13+00:00
5,amsterdam,2025-10-26T10:13:43+00:00
5,anaheim,2025-10-26T09:43:43+00:00
5,barcelona,2025-10-26T09:35:51+00:00
5,basel,2025-10-26T10:19:36+00:00
5,berlin,2025-10-26T10:11:05+00:00
5,bilbao,2025-10-26T09:54:33+00:00
5,birmingham,2025-10-26T10:17:24+00:00
5,chicago,2025-10-26T10:11:57+00:00
5,dallas,2025-10-26T10:06:37+00:00
5,essen,2025-10-26T10:10:24+00:00
5,frankfurt,2025-10-26T10:01:32+00:00
5,glasgow,2025-10-26T09:52:23+00:00
5,hamburg,2025-10-26T10:04:59+00:00
5,hannover,2025-10-26T09:42:45+00:00
5,hong-kong,2025-10-26T10:05:40+00:00
5,houston,2025-10-26T09:49:36+00:00
5,k-ln,2025-10-26T09:45:17+00:00
5,karlsruhe,2025-10-26T09:48:07+00:00
5,leipzig,2025-10-26T10:18:02+00:00
