season,location,file_last_modified
7,amsterdam,2026-01-03T17:18:05+00:00
7,anaheim,2026-01-03T15:47:26+00:00
7,atlanta,2026-01-03T12:02:23+00:00
7,auckland,2026-01-03T15:16:53+00:00
7,bangkok,2026-01-03T12:42:30+00:00
7,barcelona,2026-01-03T13:19:32+00:00
7,beijing,2026-01-03T16:16:41+00:00
7,belgium,2026-01-03T13:55:43+00:00
7,berlin,2026-01-03T12:54:40+00:00
7,bilbao,2026-01-03T15:03:58+00:00
7,birmingham,2026-01-03T16:58:17+00:00
7,brisbane,2026-01-03T17:36:52+00:00
7,cape-town,2026-01-03T17:30:37+00:00
7,cardiff,2026-01-03T12:19:12+00:00
7,chicago-navy-pier,2026-01-03T16:20:07+00:00
7,ciudad-de-mexico,2026-01-03T16:34:35+00:00
7,cologne,2026-01-03T13:39:52+00:00
7,copenhagen,2026-01-03T14:24:08+00:00
7,dallas,2026-01-03T16:15:42+00:00
7,dublin,2026-01-03T16:27:02+00:00
7,frankfurt,2026-01-03T15:34:03+00:00
7,glasgow,2026-01-03T14:18:55+00:00
7,guadalajara,2026-01-03T15:05:58+00:00
7,hamburg,2026-01-03T16:47:53+00:00
7,heerenveen,2026-01-03T13:03:10+00:00
7,hong-kong,2026-01-03T16:11:53+00:00
7,houston,2026-01-03T14:29:26+00:00
7,incheon,2026-01-03T17:03:58+00:00
7,johannesburg,2025-11-23T15:08:25+00:00
7,johannesburg-i,2026-01-03T14:38:24+00:00
7,karlsruhe,2026-01-03T14:43:10+00:00
7,katowice,2026-01-03T14:59:36+00:00
7,las-vegas,2026-01-03T15:22:31+00:00
7,london,2026-01-03T16:08:22+00:00
7,maastricht,2026-01-03T12:10:53+00:00
7,madrid,2026-01-03T17:02:41+00:00
7,malaga,2026-01-03T14:05:41+00:00
7,manchester,2026-01-03T16:31:10+00:00
7,marseille,2026-01-03T15:53:05+00:00
7,melbourne,2026-01-03T15:44:58+00:00
7,miami-beach,2026-01-03T13:23:49+00:00
7,milan,2026-01-03T17:09:26+00:00
7,monterrey,2026-01-03T13:58:45+00:00
7,mumbai,2026-01-03T12:12:02+00:00
7,new-york,2026-01-03T12:28:13+00:00
7,nice,2026-01-03T17:20:28+00:00
7,paris,2026-01-03T16:40:27+00:00
7,perth,2026-01-03T17:29:29+00:00
7,poznan,2026-01-03T16:43:00+00:00
7,riga,2026-01-03T12:30:17+00:00
7,rimini,2026-01-03T12:37:05+00:00
7,rotterdam,2026-01-03T14:52:29+00:00
7,shanghai,2026-01-03T11:57:49+00:00
7,sharjah,2026-01-03T13:42:09+00:00
7,singapore,2026-01-03T17:33:51+00:00
7,singapore-national-stadium,2026-01-04T14:04:55+00:00
7,stockholm,2026-01-03T15:57:51+00:00
7,stuttgart,2026-01-03T17:27:42+00:00
7,sydney,2026-01-03T17:40:07+00:00
7,taipei,2026-01-03T13:44:35+00:00
7,toronto,2026-01-03T17:24:46+00:00
7,toulouse,2026-01-03T15:12:50+00:00
7,valencia,2026-01-03T12:05:34+00:00
7,vienna,2026-01-03T14:57:04+00:00
7,warsaw,2026-01-03T13:49:36+00:00
